case_id,scenario,ground_truth_hypothesis,notes
GEN0031,generated credential_compromise scenario #31,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0032,generated credential_compromise scenario #32,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0033,generated credential_compromise scenario #33,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0034,generated credential_compromise scenario #34,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0035,generated credential_compromise scenario #35,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0036,generated credential_compromise scenario #36,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0037,generated credential_compromise scenario #37,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0038,generated credential_compromise scenario #38,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0039,generated credential_compromise scenario #39,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0040,generated credential_compromise scenario #40,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0041,generated legitimate_admin_activity scenario #1,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0042,generated legitimate_admin_activity scenario #2,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0043,generated legitimate_admin_activity scenario #3,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0044,generated legitimate_admin_activity scenario #4,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0045,generated legitimate_admin_activity scenario #5,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0046,generated legitimate_admin_activity scenario #6,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0047,generated legitimate_admin_activity scenario #7,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0048,generated legitimate_admin_activity scenario #8,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0049,generated legitimate_admin_activity scenario #9,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0050,generated legitimate_admin_activity scenario #10,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0051,generated legitimate_admin_activity scenario #11,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0052,generated legitimate_admin_activity scenario #12,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0053,generated legitimate_admin_activity scenario #13,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0054,generated legitimate_admin_activity scenario #14,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0055,generated legitimate_admin_activity scenario #15,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0056,generated legitimate_admin_activity scenario #16,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0057,generated legitimate_admin_activity scenario #17,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0058,generated legitimate_admin_activity scenario #18,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0059,generated legitimate_admin_activity scenario #19,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0060,generated legitimate_admin_activity scenario #20,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0061,generated legitimate_admin_activity scenario #21,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0062,generated legitimate_admin_activity scenario #22,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0063,generated legitimate_admin_activity scenario #23,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0064,generated legitimate_admin_activity scenario #24,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0065,generated legitimate_admin_activity scenario #25,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0066,generated legitimate_admin_activity scenario #26,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0067,generated legitimate_admin_activity scenario #27,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0068,generated legitimate_admin_activity scenario #28,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0069,generated legitimate_admin_activity scenario #29,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0070,generated legitimate_admin_activity scenario #30,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0071,generated legitimate_admin_activity scenario #31,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0072,generated legitimate_admin_activity scenario #32,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0073,generated legitimate_admin_activity scenario #33,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0074,generated legitimate_admin_activity scenario #34,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0075,generated legitimate_admin_activity scenario #35,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0076,generated legitimate_admin_activity scenario #36,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0077,generated legitimate_admin_activity scenario #37,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0078,generated legitimate_admin_activity scenario #38,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0079,generated legitimate_admin_activity scenario #39,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0080,generated legitimate_admin_activity scenario #40,legitimate_admin_activity,"auto-generated for evaluation, see case_generator.py"
GEN0081,generated insider_data_exfiltration scenario #1,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0082,generated insider_data_exfiltration scenario #2,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0083,generated insider_data_exfiltration scenario #3,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0084,generated insider_data_exfiltration scenario #4,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0085,generated insider_data_exfiltration scenario #5,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0086,generated insider_data_exfiltration scenario #6,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0087,generated insider_data_exfiltration scenario #7,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0088,generated insider_data_exfiltration scenario #8,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0089,generated insider_data_exfiltration scenario #9,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0090,generated insider_data_exfiltration scenario #10,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0091,generated insider_data_exfiltration scenario #11,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0092,generated insider_data_exfiltration scenario #12,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0093,generated insider_data_exfiltration scenario #13,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0094,generated insider_data_exfiltration scenario #14,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0095,generated insider_data_exfiltration scenario #15,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0096,generated insider_data_exfiltration scenario #16,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0097,generated insider_data_exfiltration scenario #17,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0098,generated insider_data_exfiltration scenario #18,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0099,generated insider_data_exfiltration scenario #19,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0100,generated insider_data_exfiltration scenario #20,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0101,generated insider_data_exfiltration scenario #21,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0102,generated insider_data_exfiltration scenario #22,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0103,generated insider_data_exfiltration scenario #23,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0104,generated insider_data_exfiltration scenario #24,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0105,generated insider_data_exfiltration scenario #25,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0106,generated insider_data_exfiltration scenario #26,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0107,generated insider_data_exfiltration scenario #27,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0108,generated insider_data_exfiltration scenario #28,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0109,generated insider_data_exfiltration scenario #29,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0110,generated insider_data_exfiltration scenario #30,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0111,generated insider_data_exfiltration scenario #31,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0112,generated insider_data_exfiltration scenario #32,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0113,generated insider_data_exfiltration scenario #33,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0114,generated insider_data_exfiltration scenario #34,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0115,generated insider_data_exfiltration scenario #35,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0116,generated insider_data_exfiltration scenario #36,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0117,generated insider_data_exfiltration scenario #37,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0118,generated insider_data_exfiltration scenario #38,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0119,generated insider_data_exfiltration scenario #39,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0120,generated insider_data_exfiltration scenario #40,insider_data_exfiltration,"auto-generated for evaluation, see case_generator.py"
GEN0121,generated insufficient_evidence scenario #1,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0122,generated insufficient_evidence scenario #2,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0123,generated insufficient_evidence scenario #3,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0124,generated insufficient_evidence scenario #4,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0125,generated insufficient_evidence scenario #5,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0126,generated insufficient_evidence scenario #6,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0127,generated insufficient_evidence scenario #7,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0128,generated insufficient_evidence scenario #8,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0129,generated insufficient_evidence scenario #9,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0130,generated insufficient_evidence scenario #10,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0131,generated insufficient_evidence scenario #11,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0132,generated insufficient_evidence scenario #12,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0133,generated insufficient_evidence scenario #13,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0134,generated insufficient_evidence scenario #14,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0135,generated insufficient_evidence scenario #15,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0136,generated insufficient_evidence scenario #16,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0137,generated insufficient_evidence scenario #17,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0138,generated insufficient_evidence scenario #18,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0139,generated insufficient_evidence scenario #19,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0140,generated insufficient_evidence scenario #20,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0141,generated insufficient_evidence scenario #21,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0142,generated insufficient_evidence scenario #22,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0143,generated insufficient_evidence scenario #23,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0144,generated insufficient_evidence scenario #24,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0145,generated insufficient_evidence scenario #25,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0146,generated insufficient_evidence scenario #26,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0147,generated insufficient_evidence scenario #27,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0148,generated insufficient_evidence scenario #28,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0149,generated insufficient_evidence scenario #29,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0150,generated insufficient_evidence scenario #30,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0151,generated insufficient_evidence scenario #31,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0152,generated insufficient_evidence scenario #32,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0153,generated insufficient_evidence scenario #33,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0154,generated insufficient_evidence scenario #34,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0155,generated insufficient_evidence scenario #35,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0156,generated insufficient_evidence scenario #36,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0157,generated insufficient_evidence scenario #37,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0158,generated insufficient_evidence scenario #38,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0159,generated insufficient_evidence scenario #39,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
GEN0160,generated insufficient_evidence scenario #40,insufficient_evidence,"auto-generated for evaluation, see case_generator.py"
