event_id,case_id,timestamp,event_type,user,device,source_ip,destination,process,severity,source,label,description
GEN0003-E4,GEN0003,2026-06-04 00:22:00,dns_query,admin,vm-53,45.40.56.246,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0003-E5,GEN0003,2026-06-04 00:51:00,analyst_note,admin,vm-53,45.40.56.246,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0004-E1,GEN0004,2026-02-18 02:53:00,login_failed,admin,laptop-68,185.250.237.97,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0004-E2,GEN0004,2026-02-18 02:36:00,login_success,admin,laptop-68,185.250.237.97,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0004-E3,GEN0004,2026-02-18 02:12:00,process_start,admin,laptop-68,185.250.237.97,laptop-68,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0004-E4,GEN0004,2026-02-18 02:45:00,dns_query,admin,laptop-68,185.250.237.97,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0004-E5,GEN0004,2026-02-18 02:02:00,analyst_note,admin,laptop-68,185.250.237.97,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0005-E1,GEN0005,2026-02-13 02:29:00,login_failed,admin,workstation-47,185.219.60.222,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0005-E2,GEN0005,2026-02-13 02:10:00,login_success,admin,workstation-47,185.219.60.222,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0005-E3,GEN0005,2026-02-13 02:23:00,process_start,admin,workstation-47,185.219.60.222,workstation-47,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0005-E4,GEN0005,2026-02-13 02:22:00,dns_query,admin,workstation-47,185.219.60.222,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0005-E5,GEN0005,2026-02-13 02:42:00,analyst_note,admin,workstation-47,185.219.60.222,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0006-E1,GEN0006,2026-09-24 01:10:00,login_failed,admin,server-97,185.156.163.44,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0006-E2,GEN0006,2026-09-24 01:24:00,login_success,admin,server-97,185.156.163.44,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0006-E3,GEN0006,2026-09-24 01:17:00,process_start,admin,server-97,185.156.163.44,server-97,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0006-E4,GEN0006,2026-09-24 01:40:00,dns_query,admin,server-97,185.156.163.44,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0006-E5,GEN0006,2026-09-24 01:43:00,analyst_note,admin,server-97,185.156.163.44,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0007-E1,GEN0007,2026-06-13 02:04:00,login_failed,admin,server-17,91.211.9.207,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0007-E2,GEN0007,2026-06-13 02:58:00,login_success,admin,server-17,91.211.9.207,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0007-E3,GEN0007,2026-06-13 02:36:00,process_start,admin,server-17,91.211.9.207,server-17,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0007-E4,GEN0007,2026-06-13 02:56:00,dns_query,admin,server-17,91.211.9.207,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0007-E5,GEN0007,2026-06-13 02:13:00,analyst_note,admin,server-17,91.211.9.207,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0008-E1,GEN0008,2026-04-24 04:34:00,login_failed,admin,vm-60,103.37.68.36,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0008-E2,GEN0008,2026-04-24 04:47:00,login_success,admin,vm-60,103.37.68.36,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0008-E3,GEN0008,2026-04-24 04:37:00,process_start,admin,vm-60,103.37.68.36,vm-60,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0008-E4,GEN0008,2026-04-24 04:27:00,dns_query,admin,vm-60,103.37.68.36,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0008-E5,GEN0008,2026-04-24 04:23:00,analyst_note,admin,vm-60,103.37.68.36,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0009-E1,GEN0009,2026-02-05 01:50:00,login_failed,admin,workstation-27,103.24.194.13,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0009-E2,GEN0009,2026-02-05 01:38:00,login_success,admin,workstation-27,103.24.194.13,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0009-E3,GEN0009,2026-02-05 01:04:00,process_start,admin,workstation-27,103.24.194.13,workstation-27,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0009-E4,GEN0009,2026-02-05 01:24:00,dns_query,admin,workstation-27,103.24.194.13,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0009-E5,GEN0009,2026-02-05 01:38:00,analyst_note,admin,workstation-27,103.24.194.13,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0010-E1,GEN0010,2026-01-22 00:43:00,login_failed,admin,vm-77,45.249.142.221,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0010-E2,GEN0010,2026-01-22 00:49:00,login_success,admin,vm-77,45.249.142.221,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0010-E3,GEN0010,2026-01-22 00:41:00,process_start,admin,vm-77,45.249.142.221,vm-77,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0010-E4,GEN0010,2026-01-22 00:21:00,dns_query,admin,vm-77,45.249.142.221,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0010-E5,GEN0010,2026-01-22 00:18:00,analyst_note,admin,vm-77,45.249.142.221,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0011-E1,GEN0011,2026-12-09 04:48:00,login_failed,admin,vm-30,103.1.245.185,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0011-E2,GEN0011,2026-12-09 04:32:00,login_success,admin,vm-30,103.1.245.185,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0011-E3,GEN0011,2026-12-09 04:58:00,process_start,admin,vm-30,103.1.245.185,vm-30,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0011-E4,GEN0011,2026-12-09 04:06:00,dns_query,admin,vm-30,103.1.245.185,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0011-E5,GEN0011,2026-12-09 04:53:00,analyst_note,admin,vm-30,103.1.245.185,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0012-E1,GEN0012,2026-09-01 04:20:00,login_failed,admin,workstation-29,45.196.42.139,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0012-E2,GEN0012,2026-09-01 04:01:00,login_success,admin,workstation-29,45.196.42.139,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0012-E3,GEN0012,2026-09-01 04:07:00,process_start,admin,workstation-29,45.196.42.139,workstation-29,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0012-E4,GEN0012,2026-09-01 04:23:00,dns_query,admin,workstation-29,45.196.42.139,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0012-E5,GEN0012,2026-09-01 04:15:00,analyst_note,admin,workstation-29,45.196.42.139,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0013-E1,GEN0013,2026-02-25 04:49:00,login_failed,admin,laptop-40,185.22.188.125,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0013-E2,GEN0013,2026-02-25 04:08:00,login_success,admin,laptop-40,185.22.188.125,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0013-E3,GEN0013,2026-02-25 04:42:00,process_start,admin,laptop-40,185.22.188.125,laptop-40,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0013-E4,GEN0013,2026-02-25 04:30:00,dns_query,admin,laptop-40,185.22.188.125,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0013-E5,GEN0013,2026-02-25 04:16:00,analyst_note,admin,laptop-40,185.22.188.125,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0014-E1,GEN0014,2026-11-21 02:28:00,login_failed,admin,vm-37,91.183.80.103,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0014-E2,GEN0014,2026-11-21 02:07:00,login_success,admin,vm-37,91.183.80.103,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0014-E3,GEN0014,2026-11-21 02:15:00,process_start,admin,vm-37,91.183.80.103,vm-37,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0014-E4,GEN0014,2026-11-21 02:14:00,dns_query,admin,vm-37,91.183.80.103,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0014-E5,GEN0014,2026-11-21 02:21:00,analyst_note,admin,vm-37,91.183.80.103,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0015-E1,GEN0015,2026-02-23 00:14:00,login_failed,admin,laptop-85,91.151.57.2,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0015-E2,GEN0015,2026-02-23 00:57:00,login_success,admin,laptop-85,91.151.57.2,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0015-E3,GEN0015,2026-02-23 00:02:00,process_start,admin,laptop-85,91.151.57.2,laptop-85,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0015-E4,GEN0015,2026-02-23 00:55:00,dns_query,admin,laptop-85,91.151.57.2,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0015-E5,GEN0015,2026-02-23 00:04:00,analyst_note,admin,laptop-85,91.151.57.2,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0016-E1,GEN0016,2026-12-19 04:30:00,login_failed,admin,workstation-45,103.55.139.34,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0016-E2,GEN0016,2026-12-19 04:50:00,login_success,admin,workstation-45,103.55.139.34,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0016-E3,GEN0016,2026-12-19 04:30:00,process_start,admin,workstation-45,103.55.139.34,workstation-45,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0016-E4,GEN0016,2026-12-19 04:51:00,dns_query,admin,workstation-45,103.55.139.34,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0016-E5,GEN0016,2026-12-19 04:12:00,analyst_note,admin,workstation-45,103.55.139.34,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0017-E1,GEN0017,2026-08-24 00:43:00,login_failed,admin,laptop-22,103.91.109.106,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0017-E2,GEN0017,2026-08-24 00:03:00,login_success,admin,laptop-22,103.91.109.106,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0017-E3,GEN0017,2026-08-24 00:25:00,process_start,admin,laptop-22,103.91.109.106,laptop-22,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0017-E4,GEN0017,2026-08-24 00:46:00,dns_query,admin,laptop-22,103.91.109.106,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0017-E5,GEN0017,2026-08-24 00:51:00,analyst_note,admin,laptop-22,103.91.109.106,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0018-E1,GEN0018,2026-03-14 01:17:00,login_failed,admin,laptop-41,91.49.138.115,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0018-E2,GEN0018,2026-03-14 01:15:00,login_success,admin,laptop-41,91.49.138.115,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0018-E3,GEN0018,2026-03-14 01:55:00,process_start,admin,laptop-41,91.49.138.115,laptop-41,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0018-E4,GEN0018,2026-03-14 01:04:00,dns_query,admin,laptop-41,91.49.138.115,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0018-E5,GEN0018,2026-03-14 01:51:00,analyst_note,admin,laptop-41,91.49.138.115,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0019-E1,GEN0019,2026-04-06 03:31:00,login_failed,admin,laptop-16,185.249.24.238,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0019-E2,GEN0019,2026-04-06 03:13:00,login_success,admin,laptop-16,185.249.24.238,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0019-E3,GEN0019,2026-04-06 03:55:00,process_start,admin,laptop-16,185.249.24.238,laptop-16,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0019-E4,GEN0019,2026-04-06 03:25:00,dns_query,admin,laptop-16,185.249.24.238,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0019-E5,GEN0019,2026-04-06 03:10:00,analyst_note,admin,laptop-16,185.249.24.238,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0020-E1,GEN0020,2026-08-10 03:44:00,login_failed,admin,vm-10,103.68.238.201,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0020-E2,GEN0020,2026-08-10 03:09:00,login_success,admin,vm-10,103.68.238.201,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0020-E3,GEN0020,2026-08-10 03:12:00,process_start,admin,vm-10,103.68.238.201,vm-10,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0020-E4,GEN0020,2026-08-10 03:18:00,dns_query,admin,vm-10,103.68.238.201,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0020-E5,GEN0020,2026-08-10 03:03:00,analyst_note,admin,vm-10,103.68.238.201,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0021-E1,GEN0021,2026-09-17 01:03:00,login_failed,admin,laptop-50,185.13.150.123,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0021-E2,GEN0021,2026-09-17 01:54:00,login_success,admin,laptop-50,185.13.150.123,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0021-E3,GEN0021,2026-09-17 01:11:00,process_start,admin,laptop-50,185.13.150.123,laptop-50,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0021-E4,GEN0021,2026-09-17 01:04:00,dns_query,admin,laptop-50,185.13.150.123,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0021-E5,GEN0021,2026-09-17 01:43:00,analyst_note,admin,laptop-50,185.13.150.123,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0022-E1,GEN0022,2026-04-19 04:02:00,login_failed,admin,workstation-61,185.242.228.146,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0022-E2,GEN0022,2026-04-19 04:26:00,login_success,admin,workstation-61,185.242.228.146,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0022-E3,GEN0022,2026-04-19 04:42:00,process_start,admin,workstation-61,185.242.228.146,workstation-61,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0022-E4,GEN0022,2026-04-19 04:37:00,dns_query,admin,workstation-61,185.242.228.146,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0022-E5,GEN0022,2026-04-19 04:16:00,analyst_note,admin,workstation-61,185.242.228.146,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0023-E1,GEN0023,2026-03-22 02:29:00,login_failed,admin,workstation-95,45.62.68.102,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0023-E2,GEN0023,2026-03-22 02:48:00,login_success,admin,workstation-95,45.62.68.102,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0023-E3,GEN0023,2026-03-22 02:04:00,process_start,admin,workstation-95,45.62.68.102,workstation-95,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0023-E4,GEN0023,2026-03-22 02:00:00,dns_query,admin,workstation-95,45.62.68.102,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0023-E5,GEN0023,2026-03-22 02:39:00,analyst_note,admin,workstation-95,45.62.68.102,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0024-E1,GEN0024,2026-06-03 01:23:00,login_failed,admin,laptop-19,91.130.68.34,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0024-E2,GEN0024,2026-06-03 01:10:00,login_success,admin,laptop-19,91.130.68.34,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0024-E3,GEN0024,2026-06-03 01:28:00,process_start,admin,laptop-19,91.130.68.34,laptop-19,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0024-E4,GEN0024,2026-06-03 01:53:00,dns_query,admin,laptop-19,91.130.68.34,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0024-E5,GEN0024,2026-06-03 01:39:00,analyst_note,admin,laptop-19,91.130.68.34,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0025-E1,GEN0025,2026-03-09 00:56:00,login_failed,admin,laptop-95,45.239.170.27,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0025-E2,GEN0025,2026-03-09 00:47:00,login_success,admin,laptop-95,45.239.170.27,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0025-E3,GEN0025,2026-03-09 00:35:00,process_start,admin,laptop-95,45.239.170.27,laptop-95,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0025-E4,GEN0025,2026-03-09 00:09:00,dns_query,admin,laptop-95,45.239.170.27,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0025-E5,GEN0025,2026-03-09 00:18:00,analyst_note,admin,laptop-95,45.239.170.27,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0026-E1,GEN0026,2026-05-17 03:16:00,login_failed,admin,workstation-53,91.176.163.219,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0026-E2,GEN0026,2026-05-17 03:05:00,login_success,admin,workstation-53,91.176.163.219,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0026-E3,GEN0026,2026-05-17 03:40:00,process_start,admin,workstation-53,91.176.163.219,workstation-53,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0026-E4,GEN0026,2026-05-17 03:27:00,dns_query,admin,workstation-53,91.176.163.219,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0026-E5,GEN0026,2026-05-17 03:02:00,analyst_note,admin,workstation-53,91.176.163.219,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0027-E1,GEN0027,2026-03-24 03:35:00,login_failed,admin,laptop-52,91.164.251.68,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0027-E2,GEN0027,2026-03-24 03:35:00,login_success,admin,laptop-52,91.164.251.68,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0027-E3,GEN0027,2026-03-24 03:00:00,process_start,admin,laptop-52,91.164.251.68,laptop-52,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0027-E4,GEN0027,2026-03-24 03:07:00,dns_query,admin,laptop-52,91.164.251.68,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0027-E5,GEN0027,2026-03-24 03:56:00,analyst_note,admin,laptop-52,91.164.251.68,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0028-E1,GEN0028,2026-09-05 03:08:00,login_failed,admin,workstation-79,185.214.95.150,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0028-E2,GEN0028,2026-09-05 03:19:00,login_success,admin,workstation-79,185.214.95.150,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0028-E3,GEN0028,2026-09-05 03:23:00,process_start,admin,workstation-79,185.214.95.150,workstation-79,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0028-E4,GEN0028,2026-09-05 03:57:00,dns_query,admin,workstation-79,185.214.95.150,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0028-E5,GEN0028,2026-09-05 03:57:00,analyst_note,admin,workstation-79,185.214.95.150,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0029-E1,GEN0029,2026-09-14 04:47:00,login_failed,admin,server-36,91.171.27.91,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0029-E2,GEN0029,2026-09-14 04:15:00,login_success,admin,server-36,91.171.27.91,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0029-E3,GEN0029,2026-09-14 04:55:00,process_start,admin,server-36,91.171.27.91,server-36,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0029-E4,GEN0029,2026-09-14 04:10:00,dns_query,admin,server-36,91.171.27.91,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0029-E5,GEN0029,2026-09-14 04:56:00,analyst_note,admin,server-36,91.171.27.91,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0030-E1,GEN0030,2026-07-26 01:17:00,login_failed,admin,vm-13,91.189.237.86,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0030-E2,GEN0030,2026-07-26 01:50:00,login_success,admin,vm-13,91.189.237.86,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0030-E3,GEN0030,2026-07-26 01:44:00,process_start,admin,vm-13,91.189.237.86,vm-13,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0030-E4,GEN0030,2026-07-26 01:06:00,dns_query,admin,vm-13,91.189.237.86,c2.example,powershell.exe,high,dns_log,suspicious,dns traffic is sent to a malicious c2 domain
GEN0030-E5,GEN0030,2026-07-26 01:55:00,analyst_note,admin,vm-13,91.189.237.86,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0031-E1,GEN0031,2026-08-12 02:52:00,login_failed,admin,laptop-70,91.52.210.236,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0031-E2,GEN0031,2026-08-12 02:14:00,login_success,admin,laptop-70,91.52.210.236,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0031-E3,GEN0031,2026-08-12 02:01:00,process_start,admin,laptop-70,91.52.210.236,laptop-70,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
